BS_Id,Avg_WD_710_EB,Sdev_WD_710_EB,Avg_WD_1016_EB,Sdev_WD_1016_EB,Avg_WD_1619_EB,Sdev_WD_1619_EB,Avg_WD_1924_EB,Sdev_WD_1924_EB,Avg_WD_710_WB,Sdev_WD_710_WB,Avg_WD_1016_WB,Sdev_WD_1016_WB,Avg_WD_1619_WB,Sdev_WD_1619_WB,Avg_WD_1924_WB,Sdev_WD_1924_WB,Avg_WE_710_EB,Sdev_WE_710_EB,Avg_WE_1016_EB,Sdev_WE_1016_EB,Avg_WE_1619_EB,Sdev_WE_1619_EB,Avg_WE_1924_EB,Sdev_WE_1924_EB,Avg_WE_710_WB,Sdev_WE_710_WB,Avg_WE_1016_WB,Sdev_WE_1016_WB,Avg_WE_1619_WB,Sdev_WE_1619_WB,Avg_WE_1924_WB,Sdev_WE_1924_WB
1,96.56,15.51,86.41,19.57,75.11,27.67,72.06,25.97,99.89,14.36,94.16,13.43,91.16,13.4,87.48,11.9,96.33,15.08,86.33,18.34,76.74,25.64,70.11,26.58,99.39,14.22,93.16,13.4,91.29,13.35,87.95,11.98
2,98.44,15.54,88.02,20.04,76.68,27.77,73.3,25.77,98.77,14.88,93.44,13.69,90.25,13.99,87.28,12.9,98.29,15.13,87.9,18.82,78.1,25.8,71.4,26.17,98.31,14.73,92.27,13.72,90.47,13.96,87.85,13
3,98.34,15.62,87.88,20.07,76.75,27.43,73.29,24.61,98.72,15.04,93.1,13.67,90.29,14.18,87.4,13.1,98.19,15.26,87.73,18.82,78.1,25.41,71.59,24.84,98.49,14.78,92.02,13.56,90.54,14.03,88.02,13.2
4,96.84,16.74,86.3,21.02,75.11,27.96,71.11,24.14,102.72,16.58,96.56,15.41,93.65,16,91.14,14.48,96.75,16.36,86.18,19.62,76.57,25.83,69.81,23.93,102.61,16.17,95.59,15.28,94.05,15.76,91.71,14.53
5,99.66,16.26,89.83,20.25,79.14,26.82,74.73,23.13,102.33,17.16,95.76,16.3,92.84,16.74,90.41,15.21,99.64,16.04,89.7,19.07,80.46,24.86,73.94,22.62,102.22,16.75,94.78,16.12,93.29,16.51,91,15.23
6,95.54,16.41,84.35,20.5,72.73,28.08,68.53,23.87,102.16,17.35,95.43,16.52,92.49,16.89,90.05,15.33,95.43,16.04,83.88,19.52,73.83,25.96,67.81,23.24,102.06,16.95,94.45,16.32,92.94,16.67,90.66,15.37
7,93.88,16.69,82.57,20.58,70.28,28.46,67.6,23.22,99.67,16.53,92.62,15.8,89.96,16.07,87.87,14.21,93.64,16.42,82.16,19.43,71.81,26.07,68.09,21.59,99.58,16.26,91.61,15.51,90.36,15.84,88.49,14.3
8,97.9,17.1,86.65,21.5,73.48,30.39,72.09,25.3,98.75,16.83,91.51,16.31,89.21,16.47,87.51,14.5,97.63,16.79,86.43,20.31,75.71,27.73,73.28,23.05,98.62,16.62,90.46,15.98,89.54,16.34,88.11,14.66
9,97.75,17.31,86.43,21.29,73.62,29.61,71.72,25.07,98.54,16.96,91.36,16.33,89.11,16.51,87.44,14.57,97.5,16.94,86.1,20.33,75.69,27.15,72.88,22.94,98.41,16.74,90.28,16.01,89.42,16.39,88.03,14.76
10,97.85,15.54,86.22,21.79,72.83,32.54,71.21,28.35,98.23,17.07,91.08,16.37,88.87,16.55,87.26,14.65,97.75,15.14,86.11,20.54,75.25,29.58,73.08,25.19,98.07,16.86,89.97,16.08,89.15,16.44,87.86,14.84
11,100.21,16.97,88.35,23.6,75.27,33.91,73.42,31.25,97.73,17.4,90.63,16.55,88.47,16.68,87.02,14.85,100.13,16.57,88.55,22.34,77.47,31.62,75.85,27.86,97.56,17.23,89.47,16.31,88.73,16.59,87.59,15.04
12,99.01,16.43,86.36,24.32,73.24,34.7,71.27,32.22,97.54,17.77,90.67,16.65,88.49,16.84,87.12,15.07,98.9,16.16,86.68,22.9,75.26,32.5,73.77,28.65,97.34,17.61,89.45,16.5,88.7,16.75,87.67,15.29
13,99.47,15.83,86.86,24.54,75.08,33.7,71.79,31.98,97.61,17.98,90.94,16.58,88.82,16.81,87.43,15.2,99.47,15.39,87.19,23.02,76.33,31.89,73.98,28.53,97.42,17.78,89.71,16.47,89,16.75,87.97,15.38
14,95.24,15.55,80.84,25.72,71.35,31.49,66.3,30.83,97.75,18.04,91.23,16.52,89.13,16.83,87.74,15.25,95.31,15.11,81.16,24.1,71.14,30.48,66.36,29.03,97.56,17.91,89.98,16.46,89.28,16.74,88.28,15.45
15,90.71,17.26,76.27,26.07,67.78,29.73,63.1,29.84,101.82,16.03,94.89,14.83,92.82,15.28,90.49,14.27,90.96,16.57,76.37,24.81,66.85,29.32,61.78,29.48,101.51,15.98,93.52,14.87,92.86,15.24,91.09,14.41
16,90.49,17.33,76.6,25.1,68.12,28.93,63.53,29.29,102.46,18.72,94.72,17.7,92.31,18.21,90.66,16.73,90.77,16.66,76.55,24.06,67.1,28.59,62.35,28.83,102.08,18.75,92.59,18.12,92.07,18.26,91.26,16.99
17,90.24,17.35,76.67,24.61,68.08,28.75,63.37,29.31,104.79,18.26,97.29,17.62,95.22,18.16,94.12,16.85,90.5,16.79,76.46,23.77,66.99,28.42,62.47,28.52,104.54,18.23,95.22,18.09,94.98,18.15,94.73,17.05
18,88.69,16.32,76.27,22.88,66.32,28.7,60.56,29.69,104.01,19.5,96.26,19.03,93.88,20.54,92.36,19.72,88.7,16.03,75.41,22.65,65.22,28.25,61.26,27.77,103.64,19.54,93.93,19.53,93.47,20.66,92.96,19.94
19,76.94,13.11,65.11,19.34,56.81,22.68,49.79,20.3,102.26,20.23,93.64,20.24,91.26,21.41,90.16,20.1,76.57,12.86,64.2,19.03,55.8,22.45,50.12,19.34,101.79,20.48,91.09,20.6,90.78,21.43,90.8,20.29
20,76.15,12.03,65.39,16.01,59.59,17.02,56.11,16.38,102.66,18.78,94.34,18.12,92.35,18.51,91.05,17.32,75.62,12.09,64.49,15.83,58.77,16.83,56.41,15.55,102.18,18.94,91.84,18.43,91.82,18.58,91.7,17.58
21,80.24,11.78,71.51,13.9,66.69,14.06,63.09,16.02,102.33,18.91,94.09,18.14,92.28,18.39,90.69,17.23,79.8,11.78,70.77,13.53,66.2,13.72,63.4,15.09,101.86,18.93,91.39,18.56,91.58,18.57,91.37,17.47
22,80.99,11.72,72.54,13.63,67.73,13.83,64.39,16.43,102.41,18.65,94.68,17.41,93.21,17.48,91.18,16.46,80.6,11.66,71.85,13.27,67.3,13.47,64.73,15.35,101.9,18.72,92.04,17.77,92.43,17.64,91.83,16.72
23,79.25,11.15,71.46,12.74,66.55,13.19,62.12,15.99,102.61,18.61,95.11,17.24,93.65,17.39,91.56,16.44,78.85,11.07,70.8,12.33,66.18,12.68,62.46,14.83,102.16,18.67,92.52,17.63,92.88,17.55,92.22,16.69
24,81.41,11.55,74.33,12.95,69.67,13.94,61.83,16.48,102.85,18.57,95.37,17.18,93.98,17.42,91.78,16.53,81.04,11.46,73.8,12.29,69.44,13.2,62.27,15.29,102.4,18.58,92.81,17.58,93.18,17.59,92.45,16.74
25,86.24,13.05,78.87,14.32,74.48,15.65,64.76,17.4,106.02,17.18,99.31,15.67,97.13,16.05,93.6,15.56,85.98,12.65,78.46,13.54,74.52,14.78,65.34,16.04,105.92,17.15,97.66,16.16,96.54,16.41,94.31,15.68
26,96.12,14.34,86.89,17.01,81.56,19.8,73.94,23.88,105.99,17.21,99.39,15.65,97.33,15.96,93.72,15.49,95.92,13.97,86.64,15.95,81.96,18.41,75.58,21.27,105.94,17.17,97.78,16.07,96.74,16.3,94.44,15.61
27,95.43,16.24,84.76,19.96,77.34,26.01,71.2,30.87,106.13,17.29,99.58,15.65,97.57,15.99,93.96,15.53,95.4,15.99,84.51,19.02,78.4,24.27,73.25,27.81,106.11,17.24,98.04,16.03,96.98,16.33,94.67,15.66
28,96.62,18.08,84.66,21.66,77.04,27.63,72.18,31.17,106.4,17.11,99.93,15.51,97.99,15.85,94.33,15.45,96.48,17.79,84.44,20.89,78.12,26.11,72.9,29.38,106.38,17.03,98.5,15.79,97.43,16.1,95.03,15.55
29,96.3,18.4,84,22.43,75.96,28.84,71.04,32.33,106.87,16.98,100.6,15.42,98.66,15.78,94.89,15.41,96.17,18.08,83.85,21.56,77.09,27.26,71.52,30.67,106.91,16.87,99.28,15.59,98.23,15.89,95.59,15.51
30,96.06,18.95,83.46,23.21,75.08,29.93,70.25,33.08,106.33,16.01,100.8,14.58,98.38,14.81,94.08,14.33,95.9,18.62,83.39,22.25,76.23,28.34,70.25,31.74,106.49,15.93,100.09,14.38,98.46,14.78,94.78,14.49
31,91.86,21.68,80.56,23.92,73.26,29.4,69.26,31.27,105.44,16.5,99.95,15.36,96.85,15.44,91.99,14.74,91.28,22.23,80.01,23.39,74.31,27.94,69.28,29.98,105.69,16.42,99.55,15.13,97.12,15.52,92.7,14.8
32,93.27,18.67,83.93,19.9,77.51,24.83,73.41,26.53,98.96,19.44,94.14,17.88,91.19,17.42,88.44,15.29,92.69,18.91,83.35,19.35,78.5,23.39,74.68,24.39,99.51,19.24,93.32,17.82,91.13,17.64,89.07,15.46
