BS_Id,Avg_WD_710_EB,Sdev_WD_710_EB,Avg_WD_1016_EB,Sdev_WD_1016_EB,Avg_WD_1619_EB,Sdev_WD_1619_EB,Avg_WD_1924_EB,Sdev_WD_1924_EB,Avg_WD_710_WB,Sdev_WD_710_WB,Avg_WD_1016_WB,Sdev_WD_1016_WB,Avg_WD_1619_WB,Sdev_WD_1619_WB,Avg_WD_1924_WB,Sdev_WD_1924_WB,Avg_WE_710_EB,Sdev_WE_710_EB,Avg_WE_1016_EB,Sdev_WE_1016_EB,Avg_WE_1619_EB,Sdev_WE_1619_EB,Avg_WE_1924_EB,Sdev_WE_1924_EB,Avg_WE_710_WB,Sdev_WE_710_WB,Avg_WE_1016_WB,Sdev_WE_1016_WB,Avg_WE_1619_WB,Sdev_WE_1619_WB,Avg_WE_1924_WB,Sdev_WE_1924_WB
1,102.81,17.29,102.56,16.03,100.33,16.09,94.11,14.65,99.43,15.86,93.81,15.23,91.84,15.36,89.73,15.28,105.62,16.4,104.16,15.31,102.33,15.86,94.5,14.59,100.3,16.65,95.41,14.85,92.61,15.67,89.1,14.73
2,101.2,18.07,102.24,17.15,99.32,16.34,93.83,15.38,103.89,15.11,98.83,14.3,97.15,14.22,93.1,14.97,105.94,16.49,103.75,16.17,101.76,16.82,93.71,15.87,104.16,16.68,100.3,13.96,97.94,14,93.6,13.55
3,97.19,21,99.01,18.33,95.94,18.09,91.33,14.59,99.65,12.52,95.39,11.7,94,11.44,90.51,12.27,102.84,16.75,100.52,17.8,99.07,17.24,90.85,15.56,99.19,12.98,96.37,11.57,94.59,11.97,90.78,12.25
4,100.08,19.59,101.54,16.63,99.32,16.13,92.53,15,97.77,12.27,94.8,11.67,92.62,11.59,88.7,12.27,105.53,15.63,102.89,17.14,101.45,16.99,93,15.17,98.52,12.22,95.56,11.7,93.31,12.13,89.18,11.54
5,100.55,16.96,101.1,15.68,99.04,15.03,91.99,13.76,97.89,12.31,94.9,11.68,92.72,11.6,88.78,12.3,104.98,15.03,103.02,15.41,101.63,15.47,92.98,14.05,98.63,12.25,95.69,11.71,93.42,12.16,89.26,11.55
6,95.21,15.52,96.38,15.38,93.96,15.11,85.66,13.58,92.38,11.06,89.45,9.99,87.51,10.19,83.25,10.51,99.57,14.86,97.38,16.07,96.88,15.38,86.65,13.08,91.95,11.99,90.03,10.25,87.88,10.83,83.9,9.84
7,99.59,15.33,100.66,15.03,98.68,14.37,91.18,13.56,95.78,12.34,91.69,12.01,91.32,11.93,88.51,12.06,103.55,14.16,101.42,15.21,100.59,14.59,91.64,12.49,96.16,12.67,92.66,12.18,92.22,12.08,89.15,11.97
8,102.34,16.09,102.71,15.95,100.75,15.39,94.76,14.65,96.61,15.56,92.15,15.22,92.23,14.73,89.61,14.84,106.24,15.11,103.98,15.39,103,15.09,95.28,13.92,97.46,16.66,94,15,93.88,14.53,90.45,15.49
9,103.67,17.05,104.48,16.1,102.43,15.55,97.04,15.59,97.48,15.89,92.72,15.14,91.82,15.19,90.3,15.24,108.02,15.37,106,15.75,104.9,15.64,97.07,15.02,98.66,15.49,94.43,15.17,94.33,15.48,91.25,15.15
10,99.68,16.69,100.4,16.15,98.12,15.06,93.91,15.47,97.18,15.14,93.18,14.79,92.14,14.81,91.13,14.9,103.36,14.69,101.97,15.49,100.67,15.16,94.16,14.86,98.73,15.5,94.82,14.93,94.67,15.13,92.51,14.96
11,98.42,16.4,98.86,15.92,96.52,14.7,92.83,15.24,96.4,15.38,92.57,14.67,91.49,14.91,90.71,15,101.56,14.79,100.28,15.59,99.18,15.22,93.39,14.24,98.08,15.76,94.05,15.11,94.09,15.02,91.98,15.3
12,95.25,16.8,95.67,16.96,93.07,16.08,89.65,16.54,96.2,15.03,92.19,14.75,91.09,14.86,90.63,14.88,98.09,16.62,97.05,16.2,96.22,16.15,90.55,15.52,97.4,15.21,93.79,14.7,93.68,14.85,92.36,14.18
13,94.98,16.01,95.26,16.34,92.99,14.76,90.15,15.64,93.55,14.6,89.53,13.76,88.33,14.17,87.88,14.39,97.31,15.56,96.23,15.44,95.76,14.26,90.88,14.12,94.84,14.94,90.87,14.1,90.9,14.12,89.31,13.74
