"CS4_Id,N,20,0","CS4_AvgTt,N,20,2","CS4_MedTt,N,20,2","CS4_ratio,N,20,2","CS4_AvgSp,N,20,2","CS4_HvgSp,N,20,2","CS4_MedSp,N,20,2","CS4_SdSp,N,20,2","CS4_Hits,N,20,0","CS4_P5sp,N,20,0","CS4_P10sp,N,20,0","CS4_P15sp,N,20,0","CS4_P20sp,N,20,0","CS4_P25sp,N,20,0","CS4_P30sp,N,20,0","CS4_P35sp,N,20,0","CS4_P40sp,N,20,0","CS4_P45sp,N,20,0","CS4_P50sp,N,20,0","CS4_P55sp,N,20,0","CS4_P60sp,N,20,0","CS4_P65sp,N,20,0","CS4_P70sp,N,20,0","CS4_P75sp,N,20,0","CS4_P80sp,N,20,0","CS4_P85sp,N,20,0","CS4_P90sp,N,20,0","CS4_P95sp,N,20,0"
1,23.91,18.90,0.91,28.77,21.42,27.10,14.75,31,8,15,15,17,17,19,19,25,26,27,29,29,35,36,38,39,42,43,48
2,28.21,26.71,0.64,35.44,32.57,34.40,11.22,25,24,24,26,29,31,31,32,33,34,34,35,36,37,39,39,40,42,42,43
3,31.32,29.84,0.76,40.74,37.63,39.50,12.86,25,26,26,29,30,32,34,34,34,39,40,42,42,44,46,46,47,47,50,72
4,41.18,35.87,0.96,42.66,38.15,43.80,13.10,23,24,30,31,32,34,36,39,43,43,44,44,45,46,49,50,50,50,52,64
5,1.19,1.10,0.94,55.74,51.36,55.80,15.68,27,36,37,40,45,46,46,48,51,55,56,57,59,61,61,63,67,67,79,86
6,3.01,2.87,0.95,56.68,53.41,56.00,14.50,28,38,39,43,45,46,47,48,53,55,56,58,59,60,62,63,67,68,79,86
7,50.99,49.66,0.89,70.92,68.86,70.70,12.03,85,50,55,60,62,65,66,68,69,70,71,71,72,73,74,78,79,83,86,93
8,18.82,18.53,0.91,82.02,78.86,80.10,16.30,90,59,63,69,70,74,75,77,78,79,80,82,83,85,88,89,92,95,101,113
9,0.22,0.21,0.95,83.55,80.31,82.30,17.04,92,60,65,69,72,74,75,76,78,80,82,83,85,86,89,92,93,98,105,120
10,0.22,0.21,0.95,83.57,80.33,82.10,17.04,92,60,65,69,72,74,74,75,78,80,82,83,85,86,89,92,93,98,105,120
11,20.00,19.79,0.87,78.80,76.10,76.90,14.99,91,56,63,65,69,70,71,72,75,76,77,78,80,82,83,85,88,95,98,107
12,11.81,11.09,0.96,75.04,70.40,75.00,16.03,92,49,54,61,64,66,68,71,72,74,75,76,78,81,82,83,87,90,96,100
13,16.28,13.92,1.04,70.04,59.93,70.10,18.45,90,43,49,53,55,60,61,64,66,69,70,73,75,76,78,80,81,85,88,102
14,50.62,50.72,0.96,77.64,74.95,74.80,15.29,85,57,62,64,66,67,70,71,74,74,75,76,78,80,81,83,88,90,95,110
15,20.61,20.02,0.96,74.33,72.08,74.20,13.00,89,54,57,65,66,67,69,70,71,73,74,75,76,78,78,79,82,84,91,102
16,0.68,0.67,1.00,79.51,76.83,78.20,14.78,90,58,63,65,67,70,72,73,75,78,78,79,80,82,83,86,89,99,102,107
17,4.02,3.91,1.02,79.94,76.27,78.50,15.79,91,57,64,67,69,70,72,75,76,78,79,81,82,83,85,87,89,99,103,108
18,16.89,16.48,1.00,83.49,80.80,82.80,15.08,91,60,67,70,72,73,76,78,79,81,83,85,88,88,90,91,92,97,100,112
19,56.34,54.96,1.01,84.73,82.03,84.10,15.25,87,61,69,72,74,74,76,77,79,82,84,86,87,88,91,93,95,97,106,110
20,23.64,22.77,1.05,79.05,75.62,78.50,14.99,91,56,63,67,69,71,74,74,76,77,79,80,80,82,85,88,89,90,96,106
21,12.91,11.84,1.09,78.72,73.22,79.80,17.55,96,45,52,63,69,71,74,75,77,78,80,81,83,86,87,88,91,92,97,111
22,17.52,16.89,1.03,82.68,79.15,82.10,16.58,94,58,64,70,72,76,77,78,80,81,82,82,85,86,88,89,92,96,98,114
23,4.40,4.27,1.03,83.02,79.63,81.90,16.36,94,55,65,68,71,75,77,78,79,82,82,83,84,87,88,90,92,95,98,121
24,3.38,3.31,1.04,83.70,80.91,82.70,15.68,93,64,66,70,72,75,78,78,80,81,83,84,85,87,89,90,93,95,99,122
25,9.91,9.66,1.08,84.18,81.30,83.40,16.02,89,61,67,71,73,76,77,80,81,83,83,85,86,87,88,90,92,94,102,120
26,32.65,30.53,1.11,82.81,77.05,82.40,17.27,88,59,64,70,71,73,75,77,78,80,82,85,87,88,89,90,93,95,101,113
27,3.22,3.06,1.04,87.86,83.85,88.40,18.55,90,58,67,72,75,77,78,81,84,86,88,89,90,91,93,95,98,102,108,121
28,101.36,98.58,1.02,81.69,79.17,81.40,14.52,82,63,65,67,72,72,74,75,76,80,81,83,85,86,88,89,91,92,98,114
29,8.25,8.19,1.02,77.79,75.30,75.80,14.10,88,58,62,65,67,69,70,72,74,75,76,78,79,82,83,85,87,90,95,106
30,9.53,9.49,1.04,76.24,73.66,74.00,13.99,88,54,60,65,67,69,70,71,72,74,74,76,77,79,81,83,86,88,94,103
31,13.16,12.87,1.01,80.59,77.45,79.20,15.62,85,53,62,68,71,73,74,76,77,78,79,81,83,85,87,89,90,93,98,109
32,16.48,15.14,0.94,84.04,76.57,83.30,18.48,86,59,64,68,72,74,76,78,79,81,83,84,86,88,93,94,98,100,105,115
33,1.58,1.53,1.01,84.97,81.28,83.50,17.80,86,57,65,68,71,73,75,79,80,82,84,85,87,90,92,96,99,102,105,118
