"CS3_Id,N,20,0","CS3_AvgTt,N,20,2","CS3_MedTt,N,20,2","CS3_ratio,N,20,2","CS3_AvgSp,N,20,2","CS3_HvgSp,N,20,2","CS3_MedSp,N,20,2","CS3_SdSp,N,20,2","CS3_Hits,N,20,0","CS3_P5sp,N,20,0","CS3_P10sp,N,20,0","CS3_P15sp,N,20,0","CS3_P20sp,N,20,0","CS3_P25sp,N,20,0","CS3_P30sp,N,20,0","CS3_P35sp,N,20,0","CS3_P40sp,N,20,0","CS3_P45sp,N,20,0","CS3_P50sp,N,20,0","CS3_P55sp,N,20,0","CS3_P60sp,N,20,0","CS3_P65sp,N,20,0","CS3_P70sp,N,20,0","CS3_P75sp,N,20,0","CS3_P80sp,N,20,0","CS3_P85sp,N,20,0","CS3_P90sp,N,20,0","CS3_P95sp,N,20,0"
1,22.99,21.79,1.03,25.30,22.27,23.50,9.39,23,13,15,16,18,18,18,23,23,23,24,25,25,27,29,31,33,34,37,46
2,28.17,27.02,0.96,34.93,32.61,34.00,10.14,24,22,23,25,25,28,31,32,32,33,34,35,36,37,37,38,40,43,46,46
3,33.96,30.93,1.20,37.34,34.70,38.10,10.69,25,24,24,25,27,28,31,32,32,37,38,39,39,40,42,45,46,46,46,50
4,39.54,38.32,1.22,42.95,39.74,41.00,11.55,26,31,31,32,36,37,37,39,40,41,41,42,43,44,47,47,47,51,65,67
5,1.35,1.32,1.44,48.82,45.21,46.40,12.77,28,27,28,37,41,41,43,44,46,46,46,51,54,55,57,57,58,59,67,70
6,3.24,3.09,1.31,51.52,49.66,52.00,9.75,28,37,39,42,42,43,46,46,47,48,52,54,58,59,59,59,60,60,64,67
7,52.16,51.78,1.03,68.39,67.31,67.80,8.62,80,56,58,59,62,62,63,64,66,67,68,69,70,71,72,73,76,77,77,82
8,19.85,19.33,1.04,77.00,74.78,76.80,12.92,81,56,59,66,68,69,71,73,74,74,77,79,80,81,83,85,87,89,93,94
9,0.24,0.23,1.02,78.35,74.80,78.20,15.53,82,56,58,65,69,71,72,73,74,75,78,80,82,82,84,89,90,91,95,101
10,0.23,0.22,1.02,78.32,74.79,78.10,15.49,82,56,58,65,69,71,72,73,74,75,78,80,81,82,84,89,90,91,95,101
11,23.07,20.97,1.12,72.72,65.98,72.60,15.57,80,44,54,59,64,66,69,70,71,72,73,74,76,77,78,80,83,84,89,96
12,11.94,11.75,1.02,72.12,69.65,70.80,13.18,80,50,56,58,60,64,65,67,69,70,71,73,75,76,78,80,82,87,88,94
13,15.21,14.10,0.95,67.94,64.15,69.20,14.80,80,39,50,54,56,58,60,64,65,67,69,70,71,73,75,78,80,83,84,93
14,51.99,51.48,0.97,74.63,72.97,73.70,11.14,78,56,61,63,64,66,69,70,71,73,74,75,77,79,81,82,84,87,89,95
15,21.16,20.74,1.00,71.40,70.20,71.60,9.23,77,58,59,60,62,65,67,68,69,70,72,73,74,75,76,78,80,81,84,86
16,0.71,0.69,1.06,76.12,74.27,75.80,11.89,77,58,60,66,67,69,70,71,73,74,76,78,79,80,81,82,84,87,90,101
17,4.05,3.98,1.05,77.39,75.72,77.10,11.37,77,59,63,67,70,71,72,74,74,76,77,78,80,82,82,84,86,88,89,101
18,17.42,16.85,1.05,80.23,78.32,81.00,12.24,76,59,67,70,70,72,75,75,78,80,81,81,84,84,87,88,89,90,92,103
19,56.94,55.89,1.08,83.27,81.17,82.70,13.47,73,66,70,71,72,75,77,78,79,82,83,84,84,87,89,90,94,96,97,101
20,22.67,22.35,1.06,80.66,78.85,80.00,12.34,76,60,67,69,73,74,75,76,77,78,80,81,84,84,86,87,89,89,93,100
21,12.23,11.67,1.08,80.82,77.28,81.00,13.97,80,58,67,71,72,74,75,77,77,79,81,83,84,86,87,88,89,93,95,101
22,18.61,16.89,1.17,81.61,74.51,82.10,16.42,81,51,69,72,73,75,77,78,79,80,82,84,85,86,89,91,94,97,99,104
23,4.58,4.14,1.15,83.32,76.36,84.50,16.73,82,61,69,71,73,74,76,78,81,82,85,86,86,88,90,94,96,98,100,108
24,3.63,3.17,1.18,85.37,75.33,86.30,16.93,82,66,71,72,74,75,78,81,84,85,86,88,89,91,93,95,97,99,102,110
25,11.67,9.19,1.34,87.56,69.08,87.70,17.25,79,67,71,74,75,78,81,83,85,86,88,89,92,93,96,98,100,102,108,113
26,30.51,28.72,1.06,87.38,82.47,87.60,17.22,78,62,69,72,75,76,78,82,85,87,88,88,89,94,95,98,100,103,108,114
27,3.20,3.05,1.10,89.55,84.56,88.70,18.23,79,66,68,71,73,77,81,84,86,88,89,92,95,96,98,101,106,108,112,117
28,100.41,95.42,1.10,82.18,79.92,84.10,12.99,73,64,68,70,72,75,76,79,81,82,84,84,85,87,89,89,90,93,96,105
29,8.02,7.80,1.06,79.18,77.42,79.60,11.75,74,60,65,67,69,71,73,75,77,78,80,81,82,83,84,86,88,89,94,99
30,9.22,8.78,1.07,77.88,76.12,80.00,11.15,71,59,64,67,69,70,71,73,76,78,80,81,82,83,84,85,86,89,90,94
31,12.95,12.05,1.08,81.66,78.72,84.60,13.55,71,56,67,69,73,74,77,79,81,82,85,86,87,88,89,91,92,93,96,101
32,14.92,14.21,1.04,86.84,84.54,88.80,12.44,69,69,70,74,77,80,81,83,86,88,89,89,90,92,94,95,97,99,101,102
33,1.54,1.46,1.07,86.36,83.36,87.90,13.94,69,65,69,72,76,79,80,84,85,87,88,89,91,93,94,97,98,100,102,106
34,8.06,7.72,1.07,87.23,84.56,88.30,13.66,69,67,71,73,75,77,81,83,84,87,88,90,93,94,96,97,99,100,103,107
35,54.56,52.42,1.09,91.42,88.69,92.30,13.78,69,74,75,77,80,84,86,89,89,91,92,93,95,96,98,100,101,103,106,109
36,14.85,13.52,1.16,83.03,78.14,85.80,16.71,69,50,62,70,71,74,76,80,82,84,86,86,88,89,93,94,96,97,103,107
37,27.04,26.01,1.07,81.31,79.26,82.40,12.67,68,61,64,69,71,72,75,77,79,80,82,84,85,87,88,88,92,96,97,99
38,1.37,1.31,1.06,87.06,84.91,88.80,13.55,68,67,71,73,75,77,78,81,83,87,89,90,90,91,93,94,97,99,105,112
39,12.48,12.01,1.06,81.66,79.60,82.70,12.40,67,61,67,70,71,72,75,77,79,81,83,86,87,88,89,90,90,94,96,104
40,4.07,3.91,1.05,81.14,78.82,82.10,12.71,68,60,65,68,70,72,76,79,80,82,82,83,86,87,90,90,92,94,97,100
41,8.42,7.12,1.23,82.14,70.28,83.10,15.89,70,58,66,67,69,72,74,79,80,83,83,86,88,90,90,92,94,97,98,101
42,2.27,1.91,1.20,82.46,70.72,84.00,15.95,71,60,67,68,70,72,76,77,79,83,84,87,89,90,90,92,93,98,99,101
43,20.85,20.85,1.03,78.93,77.63,77.60,10.11,68,61,64,69,71,71,74,75,77,77,78,80,83,84,85,86,87,89,90,94
44,4.92,4.65,0.99,65.80,63.84,67.50,10.36,67,50,52,56,57,60,62,63,63,65,68,68,70,70,71,71,74,75,77,83
45,7.00,6.12,0.87,62.94,57.92,66.30,15.83,83,34,37,40,44,52,58,62,64,66,66,68,70,71,73,74,77,78,79,83
46,7.48,7.20,0.87,75.39,73.83,76.70,10.63,84,58,61,64,67,67,70,71,73,76,77,77,79,79,81,82,84,87,89,93
